Gene,P_Value,Mean_Cluster1,Mean_Cluster2,Mean_Cluster3,Adjusted_P_Value,Upregulated_In,Downregulated_In
Mir7050,0.00078027,0.357138036,0.144601797,-0.05139048,0.001053151,Cluster1,Cluster3
Mmp2,1.12E-98,2.168833771,0.11268304,-0.253594878,2.77E-96,Cluster1,Cluster3
Mmp3,1.12E-09,0.591400439,0.408783701,-0.098038671,2.96E-09,Cluster1,Cluster3
Mmp9,0.002788002,0.402726411,-0.121336491,-0.036219132,0.003477962,Cluster1,Cluster2
Moxd1,1.47E-12,0.813035893,0.091211501,-0.098807591,4.37E-12,Cluster1,Cluster3
Ogn,1.78E-18,0.815245237,0.652982525,-0.141983177,7.34E-18,Cluster1,Cluster3
Olfml3,5.43E-56,1.841546278,-0.247764813,-0.189082999,1.34E-54,Cluster1,Cluster2
Omd,6.18E-25,1.209894368,-0.011288427,-0.135803238,3.55E-24,Cluster1,Cluster3
Pcolce2,3.28E-16,1.002825794,-0.103775809,-0.10534629,1.18E-15,Cluster1,Cluster3
Pdgfrl,1.77E-49,1.560492289,0.309373671,-0.199908081,3.13E-48,Cluster1,Cluster3
Penk,9.22E-12,0.752633424,0.181418886,-0.098877644,2.68E-11,Cluster1,Cluster3
Pi16,8.43E-43,1.642559416,-0.24384525,-0.166905579,1.10E-41,Cluster1,Cluster2
Postn,5.27E-29,1.42628101,-0.376472664,-0.13234114,3.62E-28,Cluster1,Cluster2
Prg4,4.43E-05,0.46218812,0.089931867,-0.059079166,7.30E-05,Cluster1,Cluster3
Ptgis,2.50E-15,0.941141292,-0.004781321,-0.105942969,8.77E-15,Cluster1,Cluster3
Ptx3,7.52E-07,0.481749645,0.335419292,-0.080046949,1.60E-06,Cluster1,Cluster3
Reg3g,5.88E-08,0.681570433,-0.08974547,-0.070130395,1.36E-07,Cluster1,Cluster2
Rnase4,5.56E-77,1.96017433,0.137033512,-0.23188604,4.57E-75,Cluster1,Cluster3
Rtp4,0.00186476,0.367408991,0.025983504,-0.043486798,0.002411495,Cluster1,Cluster3
Scara5,9.64E-09,0.667333464,0.061520426,-0.080080756,2.34E-08,Cluster1,Cluster3
Serpina3n,6.21E-43,1.672430882,-0.325660133,-0.164028129,8.53E-42,Cluster1,Cluster2
Serpinf1,2.21E-59,1.708357746,0.278742641,-0.214269914,6.08E-58,Cluster1,Cluster3
Sfrp1,3.51E-07,0.50049534,0.331124599,-0.081836237,7.60E-07,Cluster1,Cluster3
Sfrp2,2.22E-17,1.003941259,-0.000564333,-0.113358881,8.29E-17,Cluster1,Cluster3
Sfrp4,1.11E-09,0.757281484,-0.081224108,-0.079333608,2.96E-09,Cluster1,Cluster2
Smoc2,1.08E-37,1.598919263,-0.377047174,-0.151797907,1.11E-36,Cluster1,Cluster2
Smpdl3a,6.81E-05,0.431684833,0.144602179,-0.059811078,0.000109204,Cluster1,Cluster3
Spon1,8.82E-51,1.882788482,-0.586597185,-0.167850741,1.68E-49,Cluster1,Cluster2
Spon2,1.49E-07,0.663109249,-0.093834951,-0.067732593,3.34E-07,Cluster1,Cluster2
Srgn,1.03E-20,0.85734328,0.713664988,-0.151375303,4.80E-20,Cluster1,Cluster3
Tgfbi,0.019669758,0.284359818,-0.005529477,-0.03169786,0.02032816,Cluster1,Cluster3
Thbs2,2.70E-18,1.138942712,-0.319572785,-0.104232153,1.08E-17,Cluster1,Cluster2
Thbs4,7.74E-09,0.733052813,-0.119904233,-0.07364119,1.91E-08,Cluster1,Cluster2
Timp1,1.49E-08,0.893432572,-0.632468704,-0.05259112,3.53E-08,Cluster1,Cluster2
Tmem255b,3.70E-05,0.50054808,-0.008812443,-0.055866939,6.27E-05,Cluster1,Cluster3
Tnc,1.21E-06,0.645016079,-0.179828953,-0.059117876,2.53E-06,Cluster1,Cluster2
Tnfaip6,1.96E-06,0.629919564,-0.169145015,-0.058229003,4.00E-06,Cluster1,Cluster2
Tnmd,0.005844152,0.364062099,-0.090169251,-0.034233284,0.006808988,Cluster1,Cluster2
Tnn,0.00210533,0.370787618,0.003205862,-0.042127953,0.002694386,Cluster1,Cluster3
X1700010K23Rik,0.000873277,0.430302375,-0.082786421,-0.042279711,0.00117228,Cluster1,Cluster2
Acot1,0.000106628,-0.07394351,1.601425945,-0.114015672,0.000165642,Cluster2,Cluster3
Aldoc,0.001020151,-0.100239523,1.470328109,-0.101027916,0.001347472,Cluster2,Cluster3
Ank,0.000174373,0.028834871,1.254642303,-0.099126773,0.000259459,Cluster2,Cluster3
Anxa8,6.24E-06,0.371860022,0.509798044,-0.08095879,1.17E-05,Cluster2,Cluster3
Apoe,0.008567758,-0.064757183,1.132230519,-0.079201189,0.00957573,Cluster2,Cluster3
Aqp5,7.94E-15,0.376597786,1.615526714,-0.165984848,2.69E-14,Cluster2,Cluster3
Arg1,0.021073494,0.004782129,0.811800943,-0.062571475,0.021332594,Cluster2,Cluster3
Arsi,0.000243769,0.039374551,1.193500499,-0.095645336,0.000360544,Cluster2,Cluster3
Atp6v1c2,0.000933772,-0.115922483,1.52550709,-0.103472753,0.00124001,Cluster2,Cluster1
BC064078,0.013278541,-0.076032543,1.111188057,-0.076319664,0.014448456,Cluster2,Cluster3
Bglap,0.010223446,-0.079555021,1.154374614,-0.079221746,0.011323727,Cluster2,Cluster1
Bglap2,0.020798494,-0.071506864,1.039119445,-0.071323966,0.021228215,Cluster2,Cluster1
Capn6,0.000139983,-0.131588712,1.748263091,-0.118724368,0.000212121,Cluster2,Cluster1
Car12,0.000774008,-0.109656398,1.525478652,-0.104178377,0.00105044,Cluster2,Cluster1
Casp1,2.90E-18,0.225306238,2.378983842,-0.207232693,1.14E-17,Cluster2,Cluster3
Cbr2,0.000128858,-0.105409945,1.678082894,-0.116318832,0.000196469,Cluster2,Cluster3
Cd24a,3.42E-05,-0.143250155,1.901042576,-0.129081309,5.83E-05,Cluster2,Cluster1
Chad,0.000503393,-0.104913597,1.552921544,-0.106811074,0.000702475,Cluster2,Cluster3
Chil1,0.002961179,-0.091074202,1.332037022,-0.091496108,0.003673635,Cluster2,Cluster3
Clca2,9.34E-05,-0.115183162,1.734658884,-0.119537963,0.000146077,Cluster2,Cluster3
Cldn3,0.003711935,-0.086332981,1.293105867,-0.089056856,0.004494353,Cluster2,Cluster3
Clu,2.05E-06,-0.112730589,2.023428756,-0.14188047,4.11E-06,Cluster2,Cluster3
Col9a1,7.02E-06,-0.15176271,2.049189366,-0.139439944,1.29E-05,Cluster2,Cluster1
